Time,Fx,Fy,Fz,Tx,Ty,Tz
1713573522.6644063,-3.706095681381946,-2.865365715077958,11.710643607333008,-0.05054867831905388,-0.018986650394218953,-0.12137317722229324
1713573522.7145615,-3.5662076291179945,-2.850906077436808,11.795107210514107,-0.0443761741149421,-0.008773101458266989,-0.1930217946850995
1713573522.7648025,-3.702477569375432,-2.968043883148198,11.638734104460195,-0.03727907647384218,-0.010569427859909955,-0.1635056879657201
1713573522.81503,-3.3724307332915022,-3.203245848570192,11.947660241802353,-0.047671695199298696,-0.02785046876984408,-0.15211409633112716
1713573522.865266,-3.6517549233842206,-2.9428885518124335,11.72905854139447,-0.04785868025692168,-0.021847199716611736,-0.13813427929182923
1713573522.9155042,-3.5927620927964217,-2.9651217025192924,11.938931145391118,-0.0614188832026803,-0.031204838260886825,-0.0824130760973959
1713573522.9657428,-3.558069967625933,-3.1069158136823796,11.660234265125629,-0.06366982589349805,-0.019274840207845954,-0.04421202578360934
1713573523.0159588,-3.5786526629245348,-3.0652521676509514,12.082482633978048,-0.05543045886235546,-0.01391282294536895,-0.05717251529243622
1713573523.0661752,-3.346478953099264,-3.0523155924866603,11.783182844976068,-0.048508067851102,-0.01713877524253164,-0.13426547753439128
1713573523.116391,-3.40007400917352,-3.0015393709801748,11.695259755804235,-0.04731643985130189,-0.01808195985345733,-0.17574314957333637
1713573523.166589,-3.568254102435752,-2.8090011051286945,11.932900794859039,-0.05618825556347451,-0.012707772656096506,-0.16797386381735877
1713573523.2167659,-3.3915648552040913,-3.067811423099222,11.553230529403407,-0.05035195975141249,-0.004474790658451193,-0.15833158325412375
1713573523.2669146,-3.193563818992164,-2.964868210480325,11.874371865095034,-0.05275107544029854,-0.004132510393812443,-0.16116581098975868
1713573523.317067,-3.3013899509854987,-2.956521741821626,11.778881826899749,-0.05650833825603711,-0.007784946630020928,-0.15529832497157844
1713573523.3672168,-3.443130436962498,-2.975082790524388,11.683765199811894,-0.05281276292197644,-0.015022441819237835,-0.14180706148628705
1713573523.4173682,-3.6033950534936223,-2.923285762785195,11.8616012741339,-0.057132044305941834,-0.030260373137325703,-0.06565856100437992
1713573523.4675133,-3.1668890312762965,-3.1738898365039603,11.135068202315445,-0.09030270256625719,-0.022821485755125416,0.015526745230605734
1713573523.5176597,-3.4078419074928537,-2.6279605303578597,11.857808208598232,-0.08709595939239315,-0.039108603364362296,0.12786430620843847
1713573523.5678067,-3.360501349970825,-3.375624349932508,12.006208982929648,-0.1035121146777857,-0.04917511380812462,0.14764311488799683
1713573523.6179533,-3.2961795697757044,-3.1391382153933205,11.328424655790675,-0.08827562480615724,-0.03584600731470992,0.13061494178883445
1713573523.668098,-3.956463097383823,-2.4126274674226904,11.820666646625256,-0.0779093502022286,-0.03331163110271966,0.10172029423207993
1713573523.7182465,-4.222410824403966,-2.6846051724448095,11.573237452011178,-0.08145508625050855,-0.03143064456203393,0.12512497362175326
1713573523.7684004,-3.663390751892177,-2.5526018145961866,11.678119828089878,-0.07862183922987197,-0.02924738735949645,0.14415240166991156
1713573523.818548,-4.039085582468694,-2.9355613351870984,11.847873220237783,-0.08226851074466701,-0.024389854132707924,0.1109859979429934
1713573523.8686812,-3.830769912192586,-2.745157468435239,11.318335747672593,-0.0848477051538496,-0.03754671610603094,0.1129477315495225
1713573523.918861,-3.4858619865902707,-2.8423314811935714,11.566318134573569,-0.09976376354020065,-0.039531115950137044,0.14284859347288625
1713573523.969023,-3.859715893234876,-2.9657825261014903,11.36094282811517,-0.09674879640887345,-0.04188443920342336,0.14428241965086558
1713573524.0192084,-3.8968245322609123,-2.9968724029097262,11.779497067727547,-0.09173766851004084,-0.044772595344104514,0.1416952574837806
1713573524.0693645,-3.7846252751843643,-2.8850111245462737,11.72462680901027,-0.09386220793914636,-0.0436136956721376,0.1418360462142979
1713573524.119515,-4.111312006610303,-3.061845521901391,12.080702982390605,-0.10341580149861414,-0.044175422390189206,0.14649088537729943
1713573524.1696873,-4.017477699917768,-3.0111571772872803,11.835928185936712,-0.08862656437928404,-0.046049474525627035,0.1363310927443656
1713573524.2198462,-3.8447823938793917,-2.913509628500691,11.594932363077058,-0.07408449615857671,-0.03500018431970901,-0.031034586227448105
1713573524.2699926,-3.5477153997739634,-2.395263251740306,11.469101173845957,-0.07476035732333072,-0.0407462249681892,0.03996432200619497
1713573524.32015,-4.151445022325187,-2.596566452824787,11.440691943382923,-0.08233906496153777,-0.03135039168740989,0.07527397450237866
1713573524.3703046,-3.8832028950386603,-2.478883317842394,11.850732469799764,-0.09538666615541852,-0.03497127225887939,0.143263423411778
1713573524.4204767,-4.163911008994122,-2.427071677165463,11.794225645794583,-0.10202420408324608,-0.030806146185267957,0.13917844585202507
1713573524.4706388,-4.006720982272754,-2.7413389685344254,11.918718293487881,-0.10982106225019489,-0.02410548661936815,0.1335524888613024
1713573524.5208118,-4.3271624428398905,-2.590972475011412,12.209489001030676,-0.11238610885614382,-0.01869360766531507,0.20780419287748234
1713573524.570967,-4.183676887862982,-2.1548888548775693,11.433295694400902,-0.10178879120758327,-0.014754192547757797,0.13809720055522967
1713573524.6211264,-3.7637616944261203,-2.506198015203496,11.36829497028317,-0.11775721608486855,-0.02350277838023877,0.19021300295312338
1713573524.671293,-3.8855129457376485,-2.1154368835903115,11.74152708043819,-0.10343815807150282,-0.02405944389057604,0.14219627723298894
1713573524.7214894,-4.260327734732105,-2.0225201534167443,11.727121512781089,-0.09260494130323654,-0.015144640428433939,0.09347238538531044
1713573524.771655,-4.296053263352558,-2.136662245051599,11.649676956301205,-0.09344307087739483,-0.030439765081426737,0.13068858953946622
1713573524.8218145,-4.081453073818027,-2.290837416538543,12.484783009940513,-0.10611488255633716,-0.05047813600192408,0.16109210515867514
